Componenta;Măsura;Finanțare;Titlul măsurii;Alocare Finaciară (euro Exclusiv Tva);Executat (euro);Executat (%)
C6;R6;grant;R6. Creșterea competitivității și decarbonizarea sectorului de încălzire – răcire;Fără costuri asociate;;
C7;I1;Grant;I1. Implementarea infrastructurii de cloud guvernamental ;374.728.570;176.504.667;47,10%
C7;I10;Grant;I10. Transformarea digitală în managementul funcției publice ;10.000.000;230.861;0,18%
C7;I11;Grant;I11. Implementarea unei scheme de sprijinire a utilizării serviciilor de comunicații prin diferite tipuri de instrumente pentru beneficiari, cu accent pe zonele albe ;94.000.000;39.196;0,33%
C7;I12;Grant;I12. Asigurarea protecției cibernetice atât pentru infrastructurile TIC publice, cât și pentru cele private cu valențe critic e pentru securitatea națională, prin utilizarea tehnologiilor inteligente ;100.000.000;1.129.813;11,30%
C7;I13;Grant;I13. Dezvoltarea sistemelor de securitate pentru protecția spectrului guvernamental ;38.530.000;18.202.922;19,36%
C7;I14;Grant;I14. Sporirea rezilienței și a securității cibernetice a serviciilor de infrastructură ale furnizorilor de servicii de internet ;18.393.501;196.840;0,20%
C7;I15;Grant;I15. Crearea de noi competențe de securitate cibernetică pentru actori cheie;11.310.000;10.060.486;26,11%
C7;I16;Grant;I16. Program de formare de competențe digitale avansate pentru funcționarii publici ;20.000.000;17.589.781;95,63%
C7;I17;Grant;I17. Scheme de finanțare pentru biblioteci pentru a deveni hub-uri de dezvoltare a competențelor digitale;22.624.468;0;0,00%
C7;I18;Loan;I18. Transformarea digitală și adoptarea tehnologiei de automatizare a proceselor de lucru robotice în administrația publică. ;14.800.000;6.773.811;29,94%
C7;I19;Loan;I19. Scheme dedicate perfecționării/recalificării angajaților din firme ;0;0;0,00%
C7;I19;Grant;I19a. Scheme dedicate perfecționării/recalificării angajaților din firme ;19.000.000;5.658.100;28,29%
C7;I2;Grant;I2. Dezvoltarea cloudului și migrarea în cloud. ;187.050.420;4.728.865;2,53%
C7;I3;Grant;I3. Realizarea sistemului de eHealth și telemedicină   ;300.000.000;22.316.977;22,32%
C7;I4;Grant;I4. Digitalizarea sistemului judiciar ;242.310.000;0;0,00%
C7;I5;Grant;I5. Digitalizare în domeniul mediului ;47.951.280;0;0,00%
C7;I6;Grant;I6. Digitalizarea în domeniul muncii și protecției sociale ;85.000.000;46.468.278;19,18%
C7;I7;Grant;I7. Implementarea formularelor electronice eForms în domeniul achizițiilor publice;851.600;8.237.545;17,18%
C7;I8;Grant;I8. Cartea de identitate electronică și semnătura digitală ;129.000.000;43.076.266;50,68%
C7;I9;Grant;I9. Digitalizarea sectorului organizațiilor neguvernamentale ;12.000.000;654.792;76,89%
C7;R1;grant;R1. Dezvoltarea unui cadru unitar pentru definirea arhitecturii unui sistem de tip cloud guvernamental;11.889.498;2.255.539;18,97%
C7;R2;grant;R2. Tranziția către atingerea obiectivelor de conectivitate UE 2025 și stimularea investițiilor private pentru dezvoltarea rețelelor de foarte mare capacitate;Fără costuri asociate;;
C8;I1;Grant;I1. Creșterea conformării voluntare a contribuabililor prin dezvoltarea serviciilor digitale ;7.000.000;1.060.414;15,15%
C8;I10;Grant;I10. Servicii electronice avansate prin digitalizarea sistemului de pensii ;61.881.919;20.800.158;33,61%
C8;I11;Loan;I11. Capitalizare BID;100.000.000;0;0,00%
C8;I2;Grant;I2. Îmbunătățirea proceselor de administrare a impozitelor și taxelor, inclusiv prin implementarea managementului integrat al riscurilor ;196.400.000;140.547.091;71,56%
C8;I3;Grant;I3. Asigurarea capacității de răspuns la provocările informaționale actuale și viitoare, inclusiv în contextul pandemiei, prin transformarea digitală a Ministerului de Finanțe/Agenției Naționale de Administrare Fiscală ;88.000.000;48.223.990;54,80%
C8;I4;Grant;I4. Implementarea vămii electronice ;61.999.999;40.674.441;65,60%
C8;I5;Grant;I5. Îmbunătățirea mecanismului de programare bugetară ;4.000.000;0;0,00%
C8;I6;Grant;I6. Instrument de modelare economică (set de instrumente de simulare privind opțiunile de reformă a pensiilor) pentru îmbunătățirea capacității instituționale de a prognoza cheltuielile cu pensiile ;400.000;347.708;86,93%
C8;I7;Grant;I7. Asistență tehnică pentru revizuirea cadrului fiscal ;4.000.000;1.058.610;26,47%
C8;I8;Grant;I8. Operaționalizarea Băncii Naționale de Dezvoltare ;10.000.000;9.954.200;99,54%
C8;I9;Grant;I9. Susținerea procesului de evaluare a dosarelor de pensii aflate în plată ;19.250.597;20.777.581;107,93%
C8;R1;grant;R1. Reforma Agenției Naționale de Administrare Fiscală (ANAF) prin digitalizare;Fără costuri asociate;;
C8;R2;grant;R2. Modernizarea sistemului vamal și implementarea vămii electronice;Fără costuri asociate;;
C8;R3;grant;R3. Îmbunătățirea mecanismului de programare bugetară;Fără costuri asociate;;
C8;R4;grant;R4. Revizuirea cadrului fiscal;Fără costuri asociate;;
C8;R5;grant;R5. Crearea și operaționalizarea Băncii Naționale de Dezvoltare;Fără costuri asociate;;
C8;R6;grant;R6. Rsistemului public de pensii;4.000.000;1.345.288;33,63%
C9;I2;Grant;I2a. Instrumente financiare pentru sectorul privat  - Sub inv 2a Portofoliul de Garantii pentru Actiune Climatica;200.000.000;3.465.664;65,42%
C9;I3;Grant;I3a. Scheme de ajutor pentru sectorul privat - Sub inv 3a Scheme de ajutor pentru digitalizarea IMM;256.500.000;138.547.169;13,19%
C9;I5;Grant;I5a. Înființarea centrelor de competență ;25.000.000;91.721.479;45,86%
C9;I8;Grant;I8. Dezvoltarea unui program pentru atragerea resurselor umane înalt specializate din străinătate pentru activități de cercetare, dezvoltare, inovare;183.000.000;1.375.626;0,54%
C9;I9;Grant;I9. Program de sprijin pentru posesorii de certificate de excelență primite la competiția pentru burse individuale Marie Sklodowska Curie;1.600.000;13;0,00%
C9;I10;Grant;I10. Înființarea și susținerea financiară a unei rețele naționale de (8) opt centre regionale de orientare în carieră ;4.000.000;1.798.801;44,97%
C9;I1;Loan;I1. Platforme digitale privind transparentizarea legislativă, debirocratizarea și simplificarea procedurală destinate mediului de afaceri ;5.297.170;8.859.103;35,44%
C9;I2;Loan;"I2. Instrumente financiare pentru sectorul privat  - Sub inv 2.1 Portofoliu de Garantii pentru Rezilienta; Sub inv 2.2 Portofoliu de Garantii pentru Actiune Climatica; Sub Inv 2.3 pentru IMM si comp cu capitalizare medie: Fond de capital de risc de recuperare; Sub masura 2.4. Fondul fondurilor pt digitalizare, actiune climatica si alte domenii; sub inv 2.5: Investitii in eficienta energetica in sectorul rezidential si de business";1.050.000.000;49.876.430;27,25%
C9;I3;Loan;"I3. Scheme de ajutor pentru sectorul privat - Sub in 3.1 Scheme de ajutor pt digitalizarea IMM; Sub in 3.2 Scheme de minimis pt listare la bursa a firmelor romanesti";600.000;1.057.774;66,11%
C9;I4;Loan;I4. Proiecte transfrontaliere și multinaționale – Procesoare cu consum redus de energie și cipuri semiconductoare ;400.000.000;0;0,00%
C9;I5;Loan;I5. Înființarea și operaționalizarea centrelor de competență ;0;0;0,00%
C9;R1;Loan;R1. Transparentizare legislativă, debirocratizare și simplificare procedurală destinate mediului de afaceri;Fără costuri asociate;;
C9;R2;grant;R2a. Raționalizarea guvernanței în domeniul cercetării, dezvoltării și inovării;3.430.000;4.403.396;128,38%
C9;R3;grant;R3. Reforma carierei de cercetător;Fără costuri asociate;;
C9;R4;Loan;R4. Consolidarea cooperării dintre mediul de afaceri și cel de cercetare;Fără costuri asociate;;
C9;R5;Loan;R5. Sprijin pentru integrarea organizațiilor de cercetare, dezvoltare și inovare din România în Spațiul european de cercetare;Fără costuri asociate;;
C11;R3;Loan;R3. Reformarea sistemului de finanțare a sectorului cultural;Fără costuri asociate;;
C13;R4;grant;R4. Introducerea cadrurilor de munca si formalizarea muncii lucratorilor casnici;Fără costuri asociate;;
C13;R5;grant;R5. Mecanism de stabilire a salariului minim;Fără costuri asociate;;
C16;R1;Grant;R1. Crearea unui cadru juridic pentru utilizarea terenurilor aflate în proprietatea statului ca zone de accelerare pentru investițiile în sursele regenerabile de energie;3020000;;
C16;R2;Grant;R2. Înființarea de ghișee unice pentru furnizarea către prosumatori de servicii de consiliere î;440000;;
C6;R3;grant;R3. Bugetare verde;Fără costuri asociate;;
C7;R3;Grant;R3 Asigurarea securitatii cibernetice pentru entitatile publice sau private care au infrastructura critica;Fără costuri asociate;;
C7;R4;Grant;R4. Dezvoltarea competentelor digitale pentru serviciul public si educatie digitala pe tot parcursul vietii pentru cetateni;Fără costuri asociate;;
C9;R2;Loan;R2. Raționalizarea guvernanței în domeniul cercetării, dezvoltării și inovării;Fără costuri asociate;;
